Time,Open,High,Low,Close,Volume
2021-10-10 00:00:00,54949.72000000,54968.98000000,54806.95000000,54873.90000000,1018.08631000
2021-10-10 00:15:00,54873.89000000,55154.42000000,54840.49000000,55108.49000000,851.04165000
2021-10-10 00:30:00,55108.48000000,55199.00000000,55023.44000000,55114.35000000,866.06758000
2021-10-10 00:45:00,55114.35000000,55142.55000000,54886.11000000,54905.27000000,725.86691000
2021-10-10 01:00:00,54905.27000000,54953.82000000,54536.47000000,54668.53000000,1015.92746000
2021-10-10 01:15:00,54668.53000000,54723.31000000,54467.00000000,54556.41000000,1108.12319000
2021-10-10 01:30:00,54556.96000000,54582.00000000,54421.78000000,54440.46000000,901.49475000
2021-10-10 01:45:00,54440.46000000,54510.49000000,54381.12000000,54382.83000000,846.89857000
2021-10-10 02:00:00,54382.83000000,54590.79000000,54080.00000000,54458.46000000,1120.46143000
2021-10-10 02:15:00,54458.46000000,54531.92000000,54360.00000000,54438.97000000,670.22253000
2021-10-10 02:30:00,54438.97000000,54723.26000000,54424.42000000,54699.98000000,784.48087000
2021-10-10 02:45:00,54699.99000000,54768.78000000,54603.49000000,54633.52000000,809.47625000
2021-10-10 03:00:00,54633.51000000,54757.34000000,54576.55000000,54757.33000000,769.48433000
2021-10-10 03:15:00,54757.33000000,54866.41000000,54701.00000000,54784.36000000,603.50334000
2021-10-10 03:30:00,54784.36000000,54931.03000000,54780.00000000,54877.53000000,604.45702000
2021-10-10 03:45:00,54877.53000000,55178.00000000,54788.00000000,55049.15000000,1092.96214000
2021-10-10 04:00:00,55049.16000000,55248.87000000,55039.01000000,55124.52000000,1085.75806000
2021-10-10 04:15:00,55120.15000000,55146.12000000,55051.03000000,55085.35000000,793.79307000
2021-10-10 04:30:00,55085.35000000,55300.00000000,54850.00000000,55218.69000000,1238.11936000
2021-10-10 04:45:00,55218.68000000,56000.00000000,55218.68000000,55873.06000000,2260.41078000
2021-10-10 05:00:00,55873.05000000,56074.43000000,55678.07000000,55814.98000000,1272.60252000
